iter	Passed	Remaining
0	138	138150
1	138	69283
2	139	46319
3	139	34833
4	140	27943
5	140	23348
6	141	20066
7	141	17604
8	142	15689
9	142	14155
10	143	12901
11	144	11858
12	144	10974
13	145	10216
14	145	9559
15	146	8983
16	146	8476
17	147	8024
18	147	7620
19	148	7257
20	148	6928
21	149	6630
22	149	6358
23	150	6108
24	150	5878
25	151	5666
26	151	5469
27	152	5287
28	152	5116
29	153	4957
30	153	4809
31	154	4671
32	154	4540
33	155	4416
34	155	4300
35	156	4191
36	157	4087
37	157	3989
38	158	3895
39	158	3806
40	159	3721
41	159	3641
42	160	3564
43	160	3491
44	161	3420
45	161	3353
46	162	3289
47	162	3227
48	163	3168
49	163	3112
50	164	3057
51	164	3003
52	165	2952
53	165	2902
54	166	2855
55	166	2809
56	167	2764
57	167	2721
58	168	2680
59	168	2640
60	169	2601
61	169	2564
62	169	2528
63	170	2493
64	170	2459
65	171	2426
66	171	2394
67	172	2360
68	172	2330
69	173	2300
70	173	2271
71	174	2243
72	174	2216
73	174	2189
74	175	2163
75	175	2138
76	176	2114
77	176	2090
78	177	2067
79	177	2044
80	178	2023
81	178	2002
82	179	1982
83	179	1962
84	180	1941
85	180	1922
86	181	1901
87	181	1882
88	182	1864
89	182	1847
90	183	1829
91	183	1812
92	184	1795
93	184	1779
94	185	1763
95	185	1747
96	186	1732
97	186	1717
98	187	1702
99	187	1688
100	188	1673
101	188	1657
102	188	1644
103	189	1630
104	189	1617
105	190	1603
106	190	1591
107	191	1578
108	191	1566
109	192	1554
110	192	1542
111	193	1530
112	193	1518
113	193	1507
114	194	1496
115	194	1484
116	195	1473
117	195	1463
118	196	1452
119	196	1442
120	197	1432
121	197	1422
122	197	1411
123	198	1401
124	198	1391
125	199	1382
126	199	1373
127	200	1363
128	200	1354
129	201	1346
130	201	1337
131	202	1329
132	202	1320
133	203	1312
134	203	1304
135	204	1296
136	204	1288
137	205	1280
138	205	1272
139	205	1265
140	206	1257
141	206	1250
142	207	1243
143	207	1236
144	208	1228
145	208	1221
146	209	1215
147	209	1208
148	210	1201
149	210	1194
150	211	1188
151	211	1181
152	212	1175
153	212	1168
154	213	1162
155	213	1156
156	214	1150
157	214	1144
158	215	1138
159	215	1132
160	216	1126
161	216	1121
162	217	1115
163	217	1109
164	218	1104
165	218	1098
166	219	1093
167	219	1087
168	220	1082
169	220	1077
170	221	1072
171	221	1067
172	222	1062
173	222	1057
174	223	1053
175	223	1048
176	224	1043
177	224	1038
178	225	1034
179	226	1029
